seed,balance_score,size_ratio,state_l1,drift_score,month_overlap,month_div,min_val,max_val,hybrid
231,0.917642842053562,1.265625,0.326008921026781,-0.881611811391223,0.2357142857142857,1.1173260971055088,64,81,0.30051457407970583
140,1.0317041454659082,1.3968253968253967,0.3174393743202557,-0.8286867730446851,0.2533333333333333,1.0820201063780184,63,88,0.45162340433462866
131,1.1211105772363603,1.7450980392156863,0.188006269010337,-0.8514305719244372,0.2255952380952381,1.0770258100196752,51,89,0.5251091768892543
172,1.136232683858748,1.2686567164179106,0.43378798372041877,-0.7719575623890048,0.29107142857142854,1.0630289909604334,67,85,0.5958623901864446
126,1.1348544375014962,1.5178571428571428,0.30849864732217674,-0.7683992314874667,0.2839285714285714,1.0523278029160381,56,85,0.5969749754602696
251,1.4282448896792168,1.6545454545454545,0.3868497175668811,-1.180997629821159,0.1519047619047619,1.332902391725921,55,91,0.6015465488044055
374,1.2707978068097203,1.4363636363636363,0.417217085223042,-0.9455090770485409,0.20726190476190479,1.1527709818104457,55,79,0.6089414528757418
182,1.3662101779634446,1.5084745762711864,0.42886780084612913,-1.063826981496824,0.17535714285714282,1.2391841243539667,59,89,0.6215312909156678
25,1.2330737657158395,1.4406779661016949,0.3961978998070723,-0.85386427298192,0.22976190476190475,1.0836261777438247,59,85,0.6353687746284955
49,1.235519635190824,1.203125,0.516197317595412,-0.8532699568721326,0.22380952380952382,1.0770794806816564,64,77,0.6382306653803312
478,1.2321224731151201,1.328125,0.45199873655756007,-0.7972820235320237,0.24603174603174605,1.0433137695637698,64,85,0.6740250566427036
430,1.0772051260286553,1.4814814814814814,0.297861822273587,-0.5716047024870554,0.3416666666666666,0.9132713691537221,54,80,0.6770818342877165
70,1.2446918767507005,1.4166666666666667,0.4140126050420168,-0.7973424369747899,0.25642857142857145,1.0537710084033614,60,85,0.6865521708683476
222,1.2685783132530122,1.66,0.3042891566265061,-0.8234443825723059,0.22869047619047622,1.0521348587627821,50,83,0.692167245452398
301,1.160123553617297,1.360655737704918,0.3997339079561895,-0.6609844484241785,0.3146825396825396,0.975666988106718,61,83,0.697434439720372
456,1.1981501085080022,1.2424242424242424,0.47786293304187993,-0.6716784529320642,0.31547619047619047,0.9871546434082547,66,82,0.7279751914555572
127,1.138557397523782,1.305084745762712,0.41673632588053505,-0.5800354130797504,0.3458333333333333,0.9258687464130837,59,77,0.7325326083679566
315,1.1994312876665818,1.5,0.3497156438332909,-0.664752567693744,0.29444444444444445,0.9591970121381885,60,90,0.734104490280961
269,1.4160878386442297,1.719298245614035,0.34839479651509736,-0.9521044781548984,0.20317460317460317,1.1552790813295015,57,98,0.7496147039358009
273,1.391059599606773,1.5,0.44552979980338653,-0.9138958916900093,0.20535714285714285,1.119253034547152,60,90,0.7513324754237665
305,1.2780016014153812,1.359375,0.4593133007076906,-0.737528212434399,0.26876984126984127,1.0062980537042403,64,87,0.761731852711302
105,1.3992962371853044,1.603448275862069,0.3979239806616177,-0.8950067074757551,0.22583333333333333,1.1208400408090884,58,93,0.7727915419522758
337,1.4166133670060992,1.8431372549019607,0.28673805605206926,-0.917703081232493,0.19714285714285715,1.1148459383753502,51,94,0.7742212101433541
243,1.3718285395237249,1.4137931034482758,0.4790177180377245,-0.8201609029295264,0.26956349206349206,1.0897243949930184,58,82,0.7977159074730564
332,1.353542450650294,1.4333333333333333,0.4601045586584803,-0.7936437423219228,0.268452380952381,1.0620961232743038,60,86,0.7979918310249481
480,1.4027613051909729,1.3833333333333333,0.5097139859288198,-0.8598426849899347,0.22964285714285718,1.0894855421327918,60,83,0.8008714256980186
96,1.3717451083279653,1.6037735849056605,0.3839857617111524,-0.8085028748341442,0.275,1.0835028748341442,53,85,0.8057930959440643
390,1.378321259538298,1.5,0.43916062976914905,-0.8020217167326702,0.24424603174603177,1.046267748478702,58,87,0.816906057825429
399,1.3302346102760352,1.4814814814814814,0.4243765643972769,-0.7250234741784036,0.2904761904761905,1.0154996646545942,54,80,0.8227181783511527
260,1.3747914772466365,1.5166666666666666,0.4290624052899849,-0.7837315934360294,0.26099206349206344,1.0447236569280929,60,91,0.826179361841416
67,1.405713350629654,1.4464285714285714,0.4796423896005413,-0.8113607119159791,0.2498015873015873,1.0611622992175664,56,81,0.8377608522884686
448,1.357014078400804,1.4406779661016949,0.45816805614955464,-0.7354970096146568,0.2857142857142857,1.0212112953289425,59,85,0.8421661716705443
275,1.4790501452570417,1.4482758620689655,0.5153871415940381,-0.9009074416680908,0.22896825396825396,1.1298756956363447,58,84,0.8484149360893782
170,1.3136698515022447,1.4642857142857142,0.42469206860826525,-0.6579095530885,0.3238095238095238,0.9817190768980237,56,82,0.8531331643402947
356,1.4399113455279993,1.6071428571428572,0.41638424419257103,-0.8263313573661986,0.23928571428571427,1.0656170716519129,56,90,0.8614793953716603
183,1.4206652907100477,1.7037037037037037,0.358480793503172,-0.7694060120754496,0.2728174603174603,1.0422234723929098,54,92,0.882081082257233
52,1.4240734541176798,1.5714285714285714,0.4263224413445542,-0.7719927187887652,0.26607142857142857,1.0380641473601937,56,88,0.8836785509655443
274,1.4886052438993616,1.6666666666666667,0.4109692886163474,-0.8387628384687209,0.2556349206349206,1.0943977591036416,51,85,0.901471256971257
51,1.5309706584509044,1.5,0.5154853292254522,-0.8925764921353156,0.25726190476190475,1.1498383968972203,56,84,0.9061671139561835
247,1.425282687787759,1.5535714285714286,0.4358556296081651,-0.741207057535658,0.3261904761904762,1.067397533726134,56,87,0.9064377475127984
373,1.415476186627067,1.836734693877551,0.289370746374758,-0.7055905361643501,0.29214285714285715,0.9977333933072072,49,90,0.921562811312022
308,1.5957373425356045,1.803921568627451,0.3959078869540767,-0.947872203675991,0.1905952380952381,1.138467441771229,51,92,0.9322267999624109
132,1.4457285210497584,1.421875,0.5119267605248792,-0.7300864326530838,0.3003968253968254,1.0304832580499093,64,91,0.9346680181925997
76,1.3757425430324894,1.45,0.46287127151624474,-0.6176684062732449,0.30396825396825394,0.9216366602414988,60,87,0.943374658641218
288,1.406656015960321,1.5517241379310345,0.42746593901464325,-0.638724558532029,0.35444444444444445,0.9931690029764735,58,90,0.9595488249879007
496,1.436406204272754,1.4285714285714286,0.5039173878506626,-0.6702969396713909,0.30392857142857144,0.9742255110999624,56,80,0.9671983465027802
56,1.738933890973644,2.0208333333333335,0.35905027882015533,-1.101692067494388,0.1870238095238095,1.2887158770181975,48,97,0.9677494437275725
166,1.5408886178948757,1.7407407407407407,0.4000739385770675,-0.8007619047619048,0.24047619047619045,1.0412380952380953,54,94,0.9803552845615424
106,1.468628518429357,1.68,0.39431425921467855,-0.6945064118474393,0.3146825396825397,1.009188951529979,50,84,0.9824740301361495
66,1.4802417681360758,1.5660377358490567,0.45710201614350954,-0.7107079427384174,0.29801587301587296,1.0087238157542904,53,83,0.9827462082191836
93,1.4989875574054075,1.4482758620689655,0.525355847668221,-0.7287745098039218,0.27575396825396825,1.00452847805789,58,84,0.9888454005426622
1,1.5720500303040352,1.4745762711864407,0.5487368795587972,-0.8317748342274764,0.23746031746031743,1.0692351516877938,59,87,0.9898076463448018
223,1.5731222930939444,1.68,0.4465611465469722,-0.821449101729045,0.27976190476190477,1.1012110064909497,50,84,0.998107921883613
99,1.488251513960094,1.7037037037037037,0.39227390512819516,-0.69914802265291,0.2873015873015873,0.9864496099544973,54,92,0.9988478981030571
115,1.730604239977853,1.5892857142857142,0.5706592628460694,-1.0408478843832332,0.1814285714285714,1.2222764558118047,56,89,1.0020107209095896
144,1.5924457297088876,1.5964912280701755,0.49797725081935607,-0.7976048437212121,0.24043650793650792,1.03804135165772,57,91,1.034122339104039
313,1.665968393614984,1.6181818181818182,0.523893287716583,-0.9019715857970613,0.2244047619047619,1.1263763477018232,55,89,1.0345882835570412
482,1.623067523118645,1.7058823529411764,0.4585925850887344,-0.8393369542939128,0.21706349206349204,1.0564004463574048,51,87,1.0355316551129063
157,1.6951128771922206,1.5925925925925926,0.551260142299814,-0.9420976917898942,0.19817460317460317,1.1402722949644974,54,86,1.0356444929392947
11,1.6229692954434947,1.709090909090909,0.45693919317629283,-0.8135445531543624,0.2646428571428571,1.0781874102972195,55,94,1.053488108235441
300,1.6022093176971834,1.543859649122807,0.5291748342871883,-0.7794184083889966,0.2521825396825397,1.0316009480715362,57,88,1.0566164318248858
53,1.6420312871988751,1.7547169811320755,0.44365715303339986,-0.8355199363169898,0.2462301587301587,1.0817500950471486,53,93,1.0571673317769823
295,1.7047045070073854,1.88,0.4123522535036928,-0.922717086834734,0.23095238095238094,1.1536694677871149,50,94,1.0588025462230717
98,1.6215515564535115,1.5245901639344261,0.5484806962595427,-0.798510369571646,0.23809523809523808,1.0366056076668841,61,93,1.0625942977533593
262,1.614875228630265,1.6071428571428572,0.5038661857437039,-0.7837477313394262,0.2875,1.0712477313394262,56,90,1.0662518166926667
97,1.5620115236800443,1.7222222222222223,0.41989465072891097,-0.7075532320207776,0.2648809523809524,0.9724341844017299,54,93,1.0667242612655
458,1.7784871307013372,1.6226415094339623,0.5779228106336874,-1.0108123249299719,0.17238095238095236,1.1831932773109242,53,86,1.070918503250357
15,1.6163112020818118,1.72,0.44815560104090596,-0.7746475886740916,0.29238095238095235,1.067028541055044,50,86,1.0740578900099478
366,1.5195395946068095,1.830188679245283,0.34467545768076324,-0.6361993230403553,0.31230158730158725,0.9485009103419426,53,97,1.0742000684785609
495,1.57835651558046,1.3559322033898304,0.6112121560953148,-0.7159975023633363,0.31071428571428567,1.026711788077622,59,80,1.0771582639261246
143,1.7022154316271965,1.7450980392156863,0.47855869620575503,-0.8920901608856003,0.22083333333333335,1.1129234942189337,51,89,1.0777523190072764
75,1.7516314696413244,1.6363636363636365,0.557633916638844,-0.9544546793076205,0.21583333333333332,1.1702880126409538,55,90,1.0835131941259901
165,1.7246296831772931,1.8478260869565217,0.43840179811038577,-0.9137644623066618,0.2038095238095238,1.1175739861161855,46,85,1.08499455956263
43,1.615799190489593,1.4821428571428572,0.5668281666733679,-0.7504667006788496,0.28908730158730156,1.0395540022661511,56,83,1.0904725000143984
438,1.4663190962274304,1.6111111111111112,0.4276039925581596,-0.5202200329286919,0.3716269841269841,0.8918470170556759,54,87,1.102165073177346
280,1.7662044565573978,1.8,0.4831022282786989,-0.9480543809039716,0.2033333333333333,1.151387714237305,50,90,1.1025663899246176
294,1.5829409805880394,1.6545454545454545,0.46419776302129245,-0.6859528053645702,0.2849206349206349,0.9708734402852051,55,91,1.1027740168328404
171,1.562959001782531,1.4666666666666666,0.5481461675579322,-0.6572289437571184,0.3081349206349206,0.965363864392039,60,88,1.1028987411525482
92,1.598387624768508,1.9130434782608696,0.3426720732538192,-0.7070347554682593,0.2934523809523809,1.0004871364206402,46,88,1.1034632959407267
44,1.604533624740835,1.6415094339622642,0.4815120953892854,-0.71314842438275,0.3,1.01314842438275,53,87,1.1053297276729102
385,1.5682522581682246,1.8148148148148149,0.37671872167670484,-0.6611424147123637,0.30297619047619045,0.9641186051885542,54,98,1.1054525678695701
57,1.6895820905437273,1.84,0.4247910452718637,-0.8218791864571915,0.24047619047619045,1.062355376933382,50,92,1.1142666600236932
149,1.5838029932481181,1.7083333333333333,0.43773482995739244,-0.6550495911664758,0.33015873015873015,0.9852083213252059,48,82,1.1252682794315851
311,1.7731193841242825,1.7450980392156863,0.5140106724542981,-0.9242275282695295,0.2070634920634921,1.1312910203330215,51,89,1.126160114335612
