seed,score
67,0.4729990412369695
134,0.4813500495441626
26,0.4950331050997185
7,0.4986566015607238
221,0.5365946473508255
391,0.5595200890780789
359,0.5605186850295674
437,0.5666367622841904
339,0.5784837395307695
52,0.5971763675832379
82,0.5976161085320518
453,0.5985230675416233
310,0.6071155749116124
41,0.6075021510664183
340,0.6094302647950569
326,0.6101240553999376
404,0.6160689191556779
384,0.6250720787478536
139,0.6259196056487508
83,0.6374119794059938
185,0.6460673221323474
80,0.6510695915906946
5,0.6565435991687567
316,0.6581524745328842
45,0.6662111615907291
69,0.6687951133649473
366,0.670898824018996
183,0.6712926445759331
90,0.6742822118710159
118,0.6793210664715329
469,0.6837249640417974
268,0.6879403276629
111,0.6882763055634245
169,0.6913598429134461
78,0.6914137288123734
31,0.6929860434523384
317,0.694233290582152
119,0.7021917177232935
212,0.7061396770755739
479,0.7088561532677988
33,0.708989324854786
58,0.7100301534758725
107,0.7113527006945111
207,0.7133408104365343
414,0.714398934612546
375,0.7203646624230218
342,0.722097766963214
314,0.7314496244190567
260,0.7329637636515284
315,0.7330974822176064
44,0.7364526248964007
349,0.7395603683420937
259,0.7431100292264219
338,0.7446526322226776
10,0.747031610434436
295,0.7480785412666945
213,0.7495359171920944
416,0.7513674162723762
386,0.7523331580534836
283,0.7549746675199416
285,0.7561318795308385
279,0.7590896639966842
13,0.7592998173938736
6,0.7597551843284126
149,0.761005570767633
407,0.7618801831569083
101,0.7641625816906041
172,0.7663045541812228
357,0.7705199833191707
144,0.7709521009365047
184,0.771095554567645
49,0.7715933930888217
11,0.772945731919484
392,0.7732067233447689
201,0.7765648746577283
399,0.7789377168507854
444,0.779873649018909
473,0.7807058910080891
274,0.7826930253761928
415,0.7833706502201383
372,0.7882091568050442
431,0.7883743665131474
216,0.790072187837682
2,0.7917190908161014
378,0.7919921182380574
32,0.7938134926929579
269,0.7993338675832382
244,0.7995868819263043
56,0.8022890022363502
299,0.8027449755732501
181,0.8051560309941708
1,0.8060676394003299
482,0.8075259727511488
411,0.80777357577363
400,0.8097565501369088
254,0.8118687286200374
364,0.8172066812667638
170,0.8217216245974042
486,0.8226480081533242
51,0.8234800966578899
230,0.824661790819949
173,0.8274724298845618
471,0.8280248127428259
474,0.8280657974625565
215,0.8287329614242704
154,0.83036633117042
131,0.8303748184779531
200,0.833228878983554
467,0.8362107844448643
417,0.8389579199145334
113,0.8401757387124635
60,0.8420530736963956
75,0.8431695688337755
292,0.8432842151704627
475,0.8467006439779412
367,0.8520675597554885
291,0.8525130264165592
30,0.8533056216406663
308,0.8562658707340612
89,0.8578921645474664
211,0.8591037198512368
341,0.8635894402305236
496,0.8637471932755618
282,0.8639947394101211
137,0.8645112469007578
150,0.8646283208576826
323,0.8684983323454216
289,0.869257396059547
76,0.8710046739544753
435,0.8715938874376213
73,0.875528599168756
262,0.8758029406606588
311,0.8759584290994804
133,0.8761266183989197
29,0.8818812499344308
168,0.8826827300171003
219,0.883071196386171
