seed,score
111,0.5167044932448717
466,0.5394034421233277
7,0.6257917226123618
52,0.6269998101791576
341,0.633868133912407
6,0.6767906635674619
284,0.6898207512504226
349,0.7105141996642161
268,0.7334267731223949
56,0.7378702795640959
333,0.7503368029637518
185,0.7629226057105167
295,0.7673450085261014
260,0.7818966431486527
444,0.7872564074095993
110,0.789062919762584
467,0.7895725092384374
342,0.7931501127023576
75,0.795812179854728
315,0.7978280698899276
5,0.8061660197788038
498,0.8266119430964874
200,0.8303731665154332
367,0.8400852607803686
415,0.850652365631699
323,0.8524020274588713
66,0.8562353395865393
291,0.8566117080807283
213,0.8582844319511838
134,0.8585274160869362
297,0.8612893948440099
107,0.8755952031250682
272,0.8814187742358288
386,0.8814584761839002
42,0.881979745411466
431,0.8844303777457776
29,0.8850864003410434
201,0.8869010178828964
17,0.892881725187727
454,0.8932942042012418
82,0.8934003155534518
106,0.8934215563643291
24,0.8949545043025027
228,0.8986709160080311
259,0.9001196431859132
183,0.9069787688987959
433,0.9110452025332819
482,0.9173318910850727
326,0.9214990217777241
499,0.9215941071921729
83,0.9225404158502211
282,0.9239558763254913
171,0.9244448420369715
221,0.9334701863249208
3,0.9337522972256191
195,0.9423396113280993
338,0.9452566406938364
362,0.9461705963778307
202,0.9549394952613286
470,0.9572719183181886
144,0.9595711886898739
396,0.9606145866703497
391,0.9691180242128152
289,0.9692558685007653
316,0.9742841047702337
250,0.9758317076423679
65,0.9772995094532339
469,0.9790838440994554
404,0.9797188294472714
331,0.9799248975223894
278,0.980041214498319
69,0.9817392038505545
473,0.983364946300899
182,0.9847080153579433
98,0.9850805698570517
324,0.9862955372540255
453,0.9866204197297068
421,0.9868575769321809
230,0.9953078982719853
299,0.9972666999381912
26,0.997753134942553
317,0.9978287068270186
2,0.9982176290641458
408,1.000108390670823
154,1.0011077867422398
130,1.0022914885500362
122,1.003470853443098
375,1.0037310837136106
269,1.005537859773017
184,1.0068299795285875
483,1.0079410150006793
8,1.0081257917439275
59,1.0089931836005135
258,1.0113088652503248
32,1.011516770152505
384,1.0119198644810037
340,1.013168026700508
145,1.0147621549230021
71,1.0165566315649894
265,1.0184321516353014
165,1.0191929320585822
161,1.0209360145623203
89,1.0228918627998935
419,1.0230903136575444
43,1.023383863354418
207,1.02454901668179
